vestigde,r310,AM-REC,zich
voorkomende,r105,ArgM-LOC,in het wetboek Napoleon , wetboek van civiele regtsvordering , wetboek van koophandel , wetboek van strafvordering en het wetboek van strafregt
voorgehouden,r492,Arg1,zijn confrères
beschouwen,r471,AM-DIS,uit het oogpunt eener wetenschap , maar uit
schreef,r494,A2,Al twee jaar na zijn promotie
had,r418,Arg1,al enige werken van de achttiende-eeuwse Franse jurist Robert-Joseph Pothier op het gebied van het handelsrecht had vertaald en becommentarieerd
was,r117,#,het burgerlijk procesrecht
besloot,r453,A1,het handelsrecht in een afzonderlijk Wetboek van Koophandel op te nemen
onderscheiden,r305,A2,van juridische handboeken
was,r292,ArgM-LOC,waar
publiceerde,r126,Arg1,over de Franse wetgeving op het notariaat , het procesrecht en het successierecht
gevestigd,r470,AM-LOC,in 1797
gesteld,r504,ArgM-TMP,Nog jaren na zijn dood
bezit,r131,Arg1,niet veel wetenschap
werken,r298,A0,zijn juridische bibliotheek
kwam,r481,Arg0,het
moet,r137,Arg0,Men
benoemd,r303,ArgM-PNC,Hiervoor
behouden,r532,Arg1,De belangstelling voor de rechtspositie van weduwen en wezen
Gehuwd,r143,Arg1,met Helena Outhuys ( 1751-1801
zij,r151,#,uiterst karig
was,r301,#,Van der Linden
bezat,r249,Arg0,Van der Linden
putte,r156,ArgM-CAU,uit eigen ervaring
onbemiddeld,r157,ArgM-TMP,volkomen
ontwerpen,r160,Arg1,het Wetboek Napoleon
verdiende,r167,AM-LOC,in de rechtspraktijk
was,r331,#,Van der Lindens ambitie
had,r456,#,als advocaat
trad,r178,AM-DIS,Tevens
gaf,r349,ArgM-ADV,Waarschijnlijk
ingeboet,r324,Arg3,aan actualiteit
was,r182,ArgM-LOC,op het gebied van het handelsrecht
is,r185,#,het laatste eigentijdse overzichtswerk van het toen nog geldend oud-vaderlands recht , in het bijzonder van het handelsrecht
ingeschakeld,r458,Arg1,hij -- zij het op de achtergrond
slagen,r422,AM-MNR,onder meer door het leerstellige karakter van haar ontwerpen
ontleende,r425,Arg1,meer dan op de Franse Code de Commerce
afkeurde,r201,Arg1,dat
groeide,r369,ArgM-MNR,in het Noord-Hollandse Zuid-Scharwoude , waar zijn vader van 1752 tot 1763 gereformeerd predikant was
geldend,r207,ArgM-TMP,toen
bijzette,r374,A0,hij
worden,r502,ArgM-TMP,Ofschoon bedoeld voor jonge advocaten
kende,r454,A0,hij
diende,r222,#,als blauwdruk voor de drie commissies , die daarna door de Koning op 18 november 1807 officieel werden ingesteld
maakte,r361,Arg1,daarvan
betekende,r412,#,deze wijziging van de staatkundige situatie
systematiseren,r225,Arg1,het geldend recht en de heersende rechtsopvattingen
was,r232,#,Het enige wetboek dat zij afleverde
spreekt,r280,Arg1,Nat
had,r523,#,Dat
huren,r245,Arg1,een pakhuis in de stad moest huren om zijn boekenverzameling in onder te brengen
was,r462,ArgM-ADV,Volgens de overlevering
gehuldigd,r416,ArgM-LOC,op zijn vijftigjarig promotiefeest
bleef,r246,#,kinderloos
brengen,r493,ArgM-LOC,bij hem
leunde,r426,ArgM-DIS,echter
verscheen,r254,Arg1,die
inschrijven,r262,AM-TMP,3 mei 1774
besteeg,r495,ArgM-TMP,in juni 1806
gelezen,r501,AM-TMP,nog steeds
vervallen,r263,A2,in wetenschappelijke beschouwingen
herinnerd,r272,ArgM-PRD,als regstgeleerden
was,r417,Arg1,De keuze
zijn,r277,#,Over zijn privéleven zijn we nauwelijks ingelicht
uitte,r439,ArgM-MNR,nogal kritisch
hield,r427,ArgM-LOC,over
was,r285,#,vreemd
gehuurd,r435,Arg1,voor de codificatiearbeid buiten de stad
verscheen,r317,Arg1,Van der Lindens uitgave van het Regtsgeleerd , practicaal en koopmans handboek , waarmee hij zijn reputatie als practicus nog eens kracht bijzette
gehuwd,r367,ArgM-LOC,op 25-4-1806 ( ondertrouw
slaagde,r444,AM-EXT,in nog geen acht maanden
was,r517,ArgM-PRD,als leenman
liet,r503,Arg1,bij het Hof van Holland en Zeeland
was,r487,ArgM-TMP,Ondertussen
verhinderde,r315,ArgM-DIS,overigens
beval,r321,Arg1,Lodewijk
ingesteld,r512,AM-TMP,daarna
uitverkocht,r326,ArgM-MNR,al snel
geleverd,r342,AM-DIS,ook
zetten,r382,A1,tegen de meer leerstellige ontwerpen van de ‘ Commissie van Twaalf
stonden,r473,#,Zijn geschriften
gelden,r421,#,als het Wetboek van Koophandel voor de Zuid-Afrikaanse republiek Transvaal
zij,r478,ArgM-LOC,op de achtergrond
afleverde,r354,Arg1,dat
opgedragen,r356,Arg2,aan zijn leermeester Van der Keessel
is,r483,#,Ook is hij door zijn publicaties en als mede-codificator van grote betekenis geweest voor het handelsrecht
overbrengen,r384,A1,om daar ongestoord te kunnen werken
bouwde,r525,Arg0,hij
gedwongen,r474,Arg0,hij
becommentarieerd,r393,Arg0,hij
waren,r395,#,gericht op de praktijk
was,r399,#,de Code de Commerce
overlijden,r402,ArgM-TMP,27-4-1801
zijn,r433,#,een wetenschappelijk rechtsgeleerde
voorkomt,r438,#,het
werd,r511,#,waardoor
procederen,r441,ArgM-LOC,in civiele zaken voor de geregtshoven en regtbanken in Frankrijk
beschreven,r449,A1,het burgerlijk recht
steunen,r498,A2,op de ontwerpen van de ‘ Commissie van Twaalf
Opstellen,r475,Arg1,over recht en rechtsgeschiedenis
brengen,r509,ArgM-LOC,onder
vormde,r522,Arg1,het begin van een groot oeuvre waarmee Van der Linden naam maakte als praktijkjurist
blijven,r527,Arg0,dat
vertaald,r530,AM-TMP,al
genoemde,r531,ArgM-LOC,in de tekst
