werd,r338,#,lid van de Ancient Order of Foresters , een humanitaire vereniging met bijstand
waarschuwde,r631,AM-TMP,Toen deze hem informeerde dat de vakbondsbestuurders E. Kupers en S. de la Bella gearresteerd zouden worden
vervulde,r195,Arg0,die
wist,r584,A1,een grootse brievensmokkel voor de vele uitgeweken Belgen in de stad te organiseren
spreken,r73,Arg1,hij ' kon spreken en schrijven , maar vooral ook organiseren
begon,r663,A0,hij
zijn,r578,Arg1,hij wilde trouwen
had,r78,Arg1,zijn werkzaamheden
was,r583,#,Van Staal , die in Amsterdam was gaan wonen , als organisatieadviseur betrokken bij de FIGA
had,r96,Arg0,Hij
vertegenwoordigen,r425,ArgM-TMP,nog altijd
vrijgesproken,r451,ArgM-TMP,omdat hij in het algemeen belang gehandeld had
beschouwden,r308,#,als ' gezakt voor zijn examen als revolutionair
werd,r342,#,druk-op-de-knop-zeepapparaten en koetsier-theeverkoper
werd,r391,#,lid van het dagelijks bestuur van de Verenigig van Ex-Politieke Gevangenen uit de Bezettingstijd 1940-1945 ( Expogé ) , hoofdredacteur van haar maandblad Aantreden en initiatiefnemer van het Expogé-Fonds
gestudeerd,r565,A1,gemeenterecht te hebben gestudeerd bij het private Instituut Laurillard hield hij vanaf 1925 twee maal per week zitting voor het Bureau voor Arbeidsrecht
was,r685,#,In 1924 was hij bovendien chef van de afdeling Publiciteit van Het Volk geworden
keerde,r612,AM-MNR,terug
verdiende,r640,AM-PRD,als chef-reiziger
doorzien,r326,Arg1,Broekhuijs ' spel
werd,r692,Arg1,In april 1943 werd hij door toedoen van de verrader A. van der Waals gearresteerd en vastgehouden in Scheveningen en Haaren , waar de rest van de groep-Vorrink gevangen zat
organiseren,r615,#,Van Staal
maken,r639,#,duidelijk
is,r617,ArgM-TMP,juni 1955 van Aantreden , 399-622
legde,r493,Arg0,die
teruggebracht,r109,#,tot die van president-commissaris
geboren,r334,ArgM-TMP,op 13 maart 1961
kenden,r497,A0,die
vertrok,r511,A2,naar Den Haag
bedankte,r508,AM-TMP,toen de OSP geen zetels behaalde
vormde,r271,Arg1,hem
gehandeld,r122,A0,hij
kreeg,r132,Arg1,een dochter en een zoon
organiseren,r541,ArgM-DIS,ook
gaan,r407,AM-LOC,door
bleek,r136,Arg0,Hij
gedwongen,r293,Arg0,door zijn betrokkenheid bij de affaire
verslonden,r138,Arg1,veel lectuur verslonden , en de kranten
zag,r358,Arg1,de valkuilen te vermijden die voor hem waren opgesteld
steunde,r274,A0,door J.W
belandde,r605,ArgM-LOC,voor
verdienen,r360,ArgM-LOC,bij
verzette,r613,Arg0,hij
wonen,r146,Arg1,in Amsterdam
binnentreden,r693,ArgM-LOC,in het parlement
steunde,r607,A0,hij
bleek,r659,#,Hij
was,r453,ArgM-LOC,In deze periode
leverde,r686,Arg0,De rechtszaak
gerekend,r678,ArgM-ADV,volgens J. de Kadt
overging,r230,#,naar de Onafhankelijke Socialistische Partij ( OSP
beschreef,r370,AM-LOC,Op 13 mei terug in Nederland
behaalde,r160,Arg0,de OSP
overleed,r676,Arg1,Van Staal , die in gevangenschap het geloof in een hogere macht deelachtig was geworden
bieden,r473,ArgM-CAU,door de advertenties voor zijn loterijspel , dat op de grens van het juridisch mogelijke balanceerde
regelde,r569,Arg0,hij
zien,r665,ArgM-LOC,in het licht van het Nederlandsche reclamewezen ( overdruk z.pl. z.j.
begon,r378,Arg1,bij te verdienen als onder meer boodschappenjongen voor diamantslijpers
is,r294,#,wat
kreeg,r232,ArgM-MNR,met diens dienstmeisje
werd,r675,#,hij
ervoer,r174,Arg0,hij
zorgde,r486,ArgM-PRD,Als fractievoorzitter
sprak,r386,ArgM-ADV,nog
was,r531,#,hiermee een einde gekomen
stelde,r682,Arg2,aan de kaak
werd,r684,Arg0,Zijn dochter Sien
lijden,r398,Arg1,ca. 1956
kwam,r681,Arg4,Ook aan zijn raadslidmaatschap
publiceerde,r312,ArgM-TMP,in 1956
werd,r400,ArgM-TMP,nu
opzetten,r422,#,het
waren,r689,Arg1,die
zorgde,r683,Arg1,voor bonkaarten en valse persoonsbewijzen ( zoals voor Vorrink
gekozen,r369,AM-LOC,bij de herstemming
onthulde,r582,Arg1,een grondzwendel
slaagde,r588,A1,er tijdens de affaire door koelbloedig optreden in de financiële belangen van zijn zaak en van de bank veilig te stellen
beschikken,r201,Arg1,over ervaring
erkende,r406,Arg0,Van Staal
gezakt,r203,Arg3,voor zijn examen als revolutionair
werd,r403,ArgM-LOC,Op zijn veertiende
onderhield,r420,AM-PRD,Zelf
stond,r539,ArgM-PRD,als secretaresse
ontslagen,r514,AM-TMP,omdat hij met diens dienstmeisje verkering kreeg
brengen,r417,ArgM-LOC,er gezinnen in
hertrouwde,r216,#,zijn vader
deed,r555,Arg1,zijn intrede in de Rotterdamse raad , die hij als een ' prachtige leerschool ' ervoer
opgerichte,r220,ArgM-TMP,zojuist
verkocht,r595,ArgM-LOC,waarvan
gespeld,r229,#,van de toen dominerende richtingen
herkozen,r448,Arg2,in raad en staten
behoort,r641,ArgM-TMP,J.H
gaf,r626,A1,zijn zetel in Provinciale Staten
strookte,r237,Arg1,met zijn nieuwe politieke inzichten
komen,r637,ArgM-NEG,neer
verdedigd,r240,#,door M. Mendels , in hoger beroep
uitgebrachte,r241,ArgM-TMP,in januari 1917
ontslagen,r243,A1,hij
was,r286,#,die
besloten,r456,A0,de andere OSP-bestuurders
werd,r624,Arg2,een succes
werd,r251,#,die
stichtte,r549,A1,Van Staal
bereiken,r258,Arg0,die
aangeboden,r490,Arg2,hem
maakte,r382,Arg1,ernst
maken,r263,#,van etalages en alles wat met reclameopmaak te maken heeft
verloor,r452,AM-LOC,Bij de verkiezingen in 1931
trouwen,r265,A1,hij wilde trouwen
balanceerde,r390,Arg1,dat
verdiende,r279,A0,die
kwam,r538,Arg2,in de Provinciale Staten van Zuid-Holland , waar hij het jongste lid was
stelde,r292,ArgM-REC,zich
was,r477,#,een harde werker , die als wethouder veel wist te bereiken en daarnaast nog tal van andere functies vervulde
verhuisde,r387,Arg4,naar Rotterdam , waar hij als chef-reiziger in koloniale waren goed verdiende en de schulden van zijn eerste winkel kon afbetalen
dominerende,r300,ArgM-TMP,toen
leverde,r680,ArgM-DIS,Zwijgen en brommen
was,r304,#,lid van de Partij van de Arbeid
beginnen,r494,A0,hij
georganiseerd,r313,ArgM-TMP,Nijmegen 1981
gepubliceerd,r427,Arg1,PORTRET : Karl Rigard van Staal
stelde,r604,#,het
kwam,r504,Arg0,Hij
werd,r412,#,secretaris van de afdeling Rotterdam
was,r409,#,dat
stemmen,r325,Arg1,Welke lijst
was,r327,Arg1,hij
voerde,r545,AM-MNR,met als leus ' Niets in den doofpot ' naar de gelijknamige door Van Staal geschreven brochure
assisteerde,r667,ArgM-LOC,bij het opzetten van de reclameafdeling
was,r523,#,hij vóór de oorlog algemeen commercieel leider was
betrokken,r546,Arg1,bij de FIGA
betrokken,r341,Arg1,bij wat de loterijaffaire zou worden van W.H
meldde,r345,ArgM-MNR,ziek
verleende,r526,Arg1,de eretitel ' vader van ex-politieke gevangenen
was,r356,#,het
voelde,r627,A0,Van Staal
was,r365,#,het jongste lid
schreef,r554,A1,over sociale aangelegenheden
gearresteerd,r372,Arg1,de vakbondsbestuurders E. Kupers en S. de la Bella
vervangt,r563,Arg1,de eerste secretaris
gecremeerd,r688,Arg1,Van Staal , die in gevangenschap het geloof in een hogere macht deelachtig was geworden
ging,r610,ArgM-CAU,door gebrek aan ervaring en inzicht
kon,r574,ArgM-MNR,met een schoolkameraad mee
geschreven,r402,Arg0,door Van Staal
was,r413,ArgM-ADV,' s avonds
steunen,r415,AM-MNR,financieel
werven,r648,#,van advertenties
speelde,r597,Arg0,Hij
worden,r431,#,wat
begon,r430,AM-ADV,Terug in Amsterdam
stemmen,r450,ArgM-MNR,rood
ging,r611,AM-TMP,omdat dat meer met zijn nieuwe politieke inzichten strookte
leverde,r438,A1,artikeltjes
hebben,r606,ArgM-PNC,voor het maken van etalages en alles wat met reclameopmaak te maken heeft
waren,r642,Arg1,alle plaatselijke bevolkingsgroepen
opzegde,r458,ArgM-TMP,eind maart 1932
werd,r630,#,Hij
helpen,r524,AM-MNR,met een programma van twee
overleden,r464,ArgM-LOC,te Haarlem
hield,r647,Arg0,hij
ging,r654,Arg1,Hij
stellen,r532,Arg1,zijn eigen domheid
was,r664,#,de zoon van Andries George van Staal
leggen,r671,AM-NEG,neer
kon,r481,ArgM-CAU,hij ' kon spreken en schrijven , maar vooral ook organiseren
onthulde,r673,Arg0,het
Let,r670,Arg1,op Van Staal
werd,r487,#,fractievoorzitter
gearresteerd,r598,ArgM-LOC,In april 1943 werd hij door toedoen van de verrader A. van der Waals gearresteerd en vastgehouden in Scheveningen en Haaren , waar de rest van de groep-Vorrink gevangen zat
geleend,r495,ArgM-ADV,van zijn grootvader en een klant
opschieten,r500,Arg1,met de nieuwe directeur van De Arbeiderspers
wist,r522,A1,veel wist te bereiken
voldeed,r517,#,Hij
begon,r547,A1,een eenvoudiger winkel in de Jordaan
doet,r553,Arg1,wat zij doet ( Scheveningen 1955 ; is nummer 10 , 6 , juni 1955 van Aantreden , 399-622
was,r643,#,in gevangenschap het geloof in een hogere macht deelachtig was geworden
uitgegroeide,r536,ArgM-TMP,tot een vaste overtuiging
deserteerden,r540,Arg0,zij
was,r543,ArgM-ADV,volgens J.C
was,r551,ArgM-TMP,sinds 1922
overleed,r559,Arg1,aan tuberculose
bekleden,r568,A0,Hij
kreeg,r599,Arg1,nieuwe buizen kreeg , waarbij hij kans zag de valkuilen te vermijden die voor hem waren opgesteld
koos,r690,A1,Van Staal
schrijven,r585,A1,hij ' kon spreken en schrijven , maar vooral ook organiseren
is,r619,#,geboren te Amserdam op 5 december 1889 en overleden te Haarlem op 13 maart 1961
spelen,r601,Arg0,hij
bouwen,r618,ArgM-TMP,100 jaar
regelde,r623,A0,hij
opgerichte,r625,ArgM-DIS,speciaal
was,r635,#,lid van het landelijk bondsbestuur
benaderden,r651,Arg0,SDAP-ers uit Gouda
werd,r655,ArgM-TMP,In 1937
maken,r658,Arg1,zijn terugkeer in de SDAP
kwamen,r669,Arg0,de Duitsers
behoorde,r698,A0,Van Staal
bevrijdden,r699,Arg0,de Amerikanen
