gekend	A1	Veel geluk van hun huwelijk in 1920
herhalende	#	het
was	#	Dit
genoemd	ArgM-DIS	tevens
kreeg	#	met wie
samengevoegd	Arg2	met afdeling I
bleef	#	Dit huwelijk
geven	ArgM-TMP	het politieke leven
voorzien	A1	in het bestaan
werd	ArgM-NEG	niet
stond	ArgM-MNR	aanvankelijk sceptisch
